--- Algorithmic Trading Bot ---
Starting trading engine. Press Ctrl+C to stop.
Market is closed. Waiting for next open in 0d 0h 8m...
Market is closed. Waiting for next open in 0d 0h 7m...
Market is closed. Waiting for next open in 0d 0h 6m...
Market is closed. Waiting for next open in 0d 0h 5m...
Market is closed. Waiting for next open in 0d 0h 4m...
Market is closed. Waiting for next open in 0d 0h 3m...
Market is closed. Waiting for next open in 0d 0h 2m...
Market is closed. Waiting for next open in 0d 0h 1m...
Market is closed. Waiting for next open in 0d 0h 0m...
Market is open. Starting trading engine...
10:30:05 ET | HOLDING  | Side: Sell, Qty:  -425, P/L: ($242.99)
10:30:36 ET | HOLDING  | Side: Sell, Qty:  -425, P/L: ($281.24)
10:31:07 ET | EXIT: CONTRARY SIGNAL (BUY) | Submitting order to close -425 shares.
10:31:38 ET | Polling... | Prediction: Buy
10:31:38 ET | SIGNAL: BUY  | Submitting market order for 849 shares.
10:32:09 ET | HOLDING  | Side: Buy , Qty:   849, P/L: ($0.50)
10:32:40 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $84.40
10:33:10 ET | HOLDING  | Side: Buy , Qty:   849, P/L: ($136.34)
10:33:41 ET | HOLDING  | Side: Buy , Qty:   849, P/L: ($330.76)
10:34:12 ET | HOLDING  | Side: Buy , Qty:   849, P/L: ($225.49)
10:34:43 ET | HOLDING  | Side: Buy , Qty:   849, P/L: ($259.45)
10:35:13 ET | HOLDING  | Side: Buy , Qty:   849, P/L: ($255.20)
10:35:44 ET | HOLDING  | Side: Buy , Qty:   849, P/L: ($348.59)
10:36:15 ET | EXIT: CONTRARY SIGNAL (SELL) | Submitting order to close 849 shares.
10:36:46 ET | Polling... | Prediction: Sell
10:36:46 ET | SIGNAL: SELL | Submitting market order for 424 shares.
10:37:17 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $2.12
10:37:48 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $33.07
10:38:19 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $12.72
10:38:49 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($89.04)
10:39:20 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($106.00)
10:39:51 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($59.36)
10:40:22 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($63.60)
10:40:52 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($55.12)
10:41:23 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($74.20)
10:41:54 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($84.80)
10:42:25 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($159.00)
10:42:55 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($156.92)
10:43:26 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($174.69)
10:43:57 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($156.88)
10:44:27 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($127.20)
10:44:58 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($135.68)
10:45:29 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($156.88)
10:45:59 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($84.80)
10:46:30 ET | EXIT: CONTRARY SIGNAL (BUY) | Submitting order to close -424 shares.
10:47:01 ET | Polling... | Prediction: Buy
10:47:01 ET | SIGNAL: BUY  | Submitting market order for 847 shares.
10:47:32 ET | HOLDING  | Side: Buy , Qty:   847, P/L: $132.08
10:48:03 ET | HOLDING  | Side: Buy , Qty:   847, P/L: ($11.91)
10:48:34 ET | HOLDING  | Side: Buy , Qty:   847, P/L: $21.97
10:49:04 ET | HOLDING  | Side: Buy , Qty:   847, P/L: ($2.34)
10:49:35 ET | HOLDING  | Side: Buy , Qty:   847, P/L: $64.32
10:50:06 ET | HOLDING  | Side: Buy , Qty:   847, P/L: ($105.08)
10:50:37 ET | HOLDING  | Side: Buy , Qty:   847, P/L: ($282.95)
10:51:07 ET | EXIT: CONTRARY SIGNAL (SELL) | Submitting order to close 847 shares.
10:51:38 ET | Polling... | Prediction: Sell
10:51:38 ET | SIGNAL: SELL | Submitting market order for 423 shares.
10:52:09 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $18.31
10:52:40 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($23.99)
10:53:11 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $1.39
10:53:41 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $18.31
10:54:12 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($15.53)
10:54:43 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($7.07)
10:55:13 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $14.08
10:55:44 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($12.82)
10:56:15 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($7.07)
10:56:45 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($55.72)
10:57:16 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($74.75)
10:57:47 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($45.14)
10:58:17 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($83.21)
10:58:48 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $18.31
10:59:19 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $69.49
10:59:50 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $102.91
11:00:20 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $102.91
11:00:51 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $77.53
11:01:22 ET | EXIT: CONTRARY SIGNAL (BUY) | Submitting order to close -423 shares.
11:01:53 ET | Polling... | Prediction: Buy
11:01:53 ET | SIGNAL: BUY  | Submitting market order for 848 shares.
11:02:24 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $50.88
11:02:55 ET | HOLDING  | Side: Buy , Qty:   848, P/L: ($67.84)
11:03:26 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $67.84
11:03:56 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $76.32
11:04:27 ET | HOLDING  | Side: Buy , Qty:   848, P/L: ($50.88)
11:04:58 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $50.88
11:05:28 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $33.92
11:05:59 ET | HOLDING  | Side: Buy , Qty:   848, P/L: $33.92
11:06:30 ET | EXIT: CONTRARY SIGNAL (SELL) | Submitting order to close 848 shares.
11:07:01 ET | Polling... | Prediction: Sell
11:07:01 ET | SIGNAL: SELL | Submitting market order for 424 shares.
11:07:32 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $72.69
11:08:02 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $11.17
11:08:33 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $36.61
11:09:04 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $15.41
11:09:34 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $32.37
11:10:05 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($5.79)
11:10:36 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($39.71)
11:11:07 ET | EXIT: CONTRARY SIGNAL (BUY) | Submitting order to close -424 shares.
11:11:37 ET | Polling... | Prediction: Buy
11:11:37 ET | SIGNAL: BUY  | Submitting market order for 847 shares.
11:12:09 ET | HOLDING  | Side: Buy , Qty:   847, P/L: ($56.87)
11:12:39 ET | HOLDING  | Side: Buy , Qty:   847, P/L: $36.30
11:13:10 ET | HOLDING  | Side: Buy , Qty:   847, P/L: ($27.23)
11:13:41 ET | HOLDING  | Side: Buy , Qty:   847, P/L: $44.77
11:14:11 ET | HOLDING  | Side: Buy , Qty:   847, P/L: $36.30
11:14:42 ET | HOLDING  | Side: Buy , Qty:   847, P/L: $57.47
11:15:13 ET | HOLDING  | Side: Buy , Qty:   847, P/L: ($124.63)
11:15:43 ET | HOLDING  | Side: Buy , Qty:   847, P/L: ($209.33)
11:16:14 ET | EXIT: CONTRARY SIGNAL (SELL) | Submitting order to close 847 shares.
11:16:45 ET | Polling... | Prediction: Sell
11:16:45 ET | SIGNAL: SELL | Submitting market order for 423 shares.
11:17:16 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($46.65)
11:17:47 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: ($38.19)
11:18:18 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $37.95
11:18:48 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $80.25
11:19:19 ET | HOLDING  | Side: Sell, Qty:  -423, P/L: $92.94
