Open,High,Low,Close,Volume,Timestamp,VolumeWeightedAveragePrice,NumberOfTransactions,Date
508.02,508.76,507.8269,508.71,272049,1735845600000,508.2938,4095,01/02/2025 19:20:00
508.7,509.05,508.41,508.76,319526,1735845900000,508.7385,4213,01/02/2025 19:25:00
508.66,508.83,508.06,508.39,232807,1735846200000,508.4826,4387,01/02/2025 19:30:00
508.3799,508.52,507.72,508.23,294054,1735846500000,508.1062,4991,01/02/2025 19:35:00
508.19,508.71,508.1401,508.28,153155,1735846800000,508.3763,2843,01/02/2025 19:40:00
508.29,509.47,507.62,508.9366,512742,1735847100000,508.3982,5341,01/02/2025 19:45:00
508.96,509.54,508.73,509.13,322765,1735847400000,509.1557,4467,01/02/2025 19:50:00
509.12,509.12,507.48,507.64,390988,1735847700000,508.0258,4030,01/02/2025 19:55:00
507.59,509.3099,507.59,509.14,293016,1735848000000,508.3511,3539,01/02/2025 20:00:00
509.12,509.34,508.76,509.16,216578,1735848300000,509.0615,3105,01/02/2025 20:05:00
509.17,510.34,509.06,510.05,461918,1735848600000,509.8779,5649,01/02/2025 20:10:00
510.03,510.03,509.43,509.91,531573,1735848900000,509.611,4095,01/02/2025 20:15:00
509.92,510.2,509.44,509.85,384195,1735849200000,509.7229,3856,01/02/2025 20:20:00
509.85,510.079,509.605,509.82,169970,1735849500000,509.8647,3074,01/02/2025 20:25:00
509.84,510.76,509.49,509.88,499212,1735849800000,510.2588,6170,01/02/2025 20:30:00
509.8799,509.88,508.97,509.18,443444,1735850100000,509.5225,4414,01/02/2025 20:35:00
509.24,509.7,509.2,509.41,298542,1735850400000,509.4483,4706,01/02/2025 20:40:00
509.415,510.23,509.3,510.05,418052,1735850700000,509.863,6073,01/02/2025 20:45:00
510.05,510.585,509.66,509.88,636663,1735851000000,510.2485,9235,01/02/2025 20:50:00
509.87,510.43,509.54,510.17,1044668,1735851300000,510.0913,12797,01/02/2025 20:55:00
510.23,511.3785,510.23,510.64,208478,1735851600000,510.9079,983,01/02/2025 21:00:00
510.68,510.71,510.23,510.5,149120,1735851900000,510.391,760,01/02/2025 21:05:00
510.35,510.65,510.23,510.62,464742,1735852200000,510.2542,404,01/02/2025 21:10:00
510.58,510.79,510.51,510.7,21850,1735852500000,510.7134,258,01/02/2025 21:15:00
510.7,510.8,510.63,510.72,12289,1735852800000,510.7101,197,01/02/2025 21:20:00
510.72,510.93,510.6,510.91,12377,1735853100000,510.7557,173,01/02/2025 21:25:00
510.9,510.9,510.23,510.64,26745,1735853400000,510.6788,193,01/02/2025 21:30:00
510.65,510.67,510.52,510.58,11441,1735853700000,510.592,152,01/02/2025 21:35:00
510.61,510.61,510.41,510.5302,6203,1735854000000,510.5098,102,01/02/2025 21:40:00
510.48,510.58,510.4513,510.58,4594,1735854300000,510.558,97,01/02/2025 21:45:00
510.52,510.52,510.4002,510.47,13547,1735854600000,510.4419,75,01/02/2025 21:50:00
510.46,510.54,510.44,510.54,6407,1735854900000,510.4781,77,01/02/2025 21:55:00
510.55,510.55,510.55,510.55,1434,1735855200000,510.5477,33,01/02/2025 22:00:00
510.5,510.52,510.3,510.3032,24890,1735855500000,510.3734,144,01/02/2025 22:05:00
510.31,510.419,510.28,510.4,2452,1735855800000,510.3575,65,01/02/2025 22:10:00
510.429,510.43,510.3507,510.42,8451,1735856100000,510.3686,99,01/02/2025 22:15:00
510.43,510.46,510.4,510.4018,3167,1735856400000,510.4208,68,01/02/2025 22:20:00
510.4294,510.4294,510.35,510.35,2084,1735856700000,508.8651,58,01/02/2025 22:25:00
510.38,510.38,510.38,510.38,289,1735857000000,509.3405,14,01/02/2025 22:30:00
510.39,510.39,510.3,510.39,2216,1735857300000,510.0729,74,01/02/2025 22:35:00
510.4,510.42,510.4,510.42,1060,1735857600000,510.4007,20,01/02/2025 22:40:00
510.42,510.42,510.41,510.42,1443,1735857900000,510.4024,54,01/02/2025 22:45:00
510.42,510.45,510.4,510.45,1076,1735858200000,510.4227,31,01/02/2025 22:50:00
510.4,510.48,510.4,510.48,1176,1735858500000,510.4324,43,01/02/2025 22:55:00
510.49,510.54,510.24,510.24,22122,1735858800000,510.3804,181,01/02/2025 23:00:00
510.23,510.3,510,510.2791,12307,1735859100000,510.1413,161,01/02/2025 23:05:00
510.25,510.39,510.21,510.39,6505,1735859400000,510.2664,98,01/02/2025 23:10:00
510.42,510.42,510.3807,510.3807,395,1735859700000,510.3989,20,01/02/2025 23:15:00
510.39,510.4,510.0908,510.0908,5583,1735860000000,510.21,106,01/02/2025 23:20:00
510.12,510.12,509.71,509.71,14772,1735860300000,509.8926,142,01/02/2025 23:25:00
510,510.1,509.8,509.8,2952,1735860600000,509.99,45,01/02/2025 23:30:00
509.83,509.89,509.78,509.79,4601,1735860900000,509.8284,61,01/02/2025 23:35:00
509.79,509.9187,509.7714,509.8551,4228,1735861200000,509.84,64,01/02/2025 23:40:00
509.8495,509.8495,509.7004,509.7004,3213,1735861500000,509.7609,45,01/02/2025 23:45:00
509.8,509.8602,509.7,509.86,3676,1735861800000,509.7803,42,01/02/2025 23:50:00
